sequenceNo,stopId,nameZh,nameEn,showLon,showLat
0,15294,莊敬里,"Zhuangjing Li",121.565572,25.065033
1,15296,新益里,"Xinyi Li",121.5661712,25.06200593
2,15298,民生國中,"Minsheng Junior High School",121.5679233,25.05966141
3,15299,新東里,"Xindong Li",121.56903,25.05789
4,15300,發電所,"Power Sta.",121.5694629,25.05574309
5,15301,南松山(塔悠),Nansongshan,121.570154,25.051932
6,15302,南松山(南京),Nansongshan,121.569058,25.051515
7,15303,南京公寓(捷運南京三民),"Nanjing Apartment(MRT Nanjing Sanmin)",121.56518,25.05154
8,15304,南京三民路口,"Nanjing   Sanmin Intersection",121.56113,25.05156
9,15305,南京寧安街口,"NanJing-NingAn Intersection",121.5552435,25.05160659
10,15306,南京敦化路口(小巨蛋),"Nanjing   Dunhua Intersection(Arena)",121.5493503,25.05176701
11,15307,捷運南京復興站,"MRT Nanjing Fuxing Station",121.5444291,25.05186467
12,15308,南京龍江路口,"Nanjing   Longjiang Intersection",121.54077,25.05198
13,15309,南京建國路口,"Nanjing   Jianguo Intersection",121.53725,25.05201
14,15310,捷運松江南京站,"MRT Songjiang Nanjing Stop",121.5333606,25.05207427
15,15311,南京吉林路口,"Nanjing   Jilin Intersection",121.5294005,25.0520972
16,15312,南京林森路口,"Nanjing   Linsen Intersection",121.52568,25.05221
17,15313,中山市場,"ZhongShan Market",121.5220211,25.05126405
18,15314,行政院,"Executive Yuan",121.51976,25.04656
19,15315,臺北車站(忠孝),"Taipei Main Sta. (Zhongxiao)",121.5168136,25.04651569
20,15316,中華路北站,"Zhonghua Rd. N. Stop",121.5091809,25.0457737
21,15317,捷運西門站,"MRT Ximen Sta.",121.5082294,25.04252838
22,15318,小南門,Xiaonanmen,121.5068548,25.03811542
23,15319,聯合醫院和平院區,"Hoping Hospital",121.5063886,25.03646318
24,15320,大埔街,"Dapu St.",121.5045205,25.03217782
25,15321,莒光派出所,"Juguang Police Substation",121.50298,25.03141
26,15322,萬大路,"Wanda Rd.",121.5004469,25.03004316
27,15323,西藏路口,"Xizang Rd. Entrance",121.5002855,25.02804228
28,15324,德昌街口,"Dechang St. Entrance",121.5002098,25.0255139
29,15325,萬大國小,"Wanda Elementary School",121.4995,25.02322
30,15326,果菜市場,"Wholesale Fruit and Vegetable Market",121.4974384,25.01980333
31,15327,華中橋,"Huazhong Bridge",121.4965023,25.00318965
32,15328,連城景平路,"Liancheng   Jingping Rd.",121.496122,24.99960298
33,15329,連城板南路,"Liancheng Bannan Rd.",121.4948985,24.99825646
34,15330,台貿一村,"Taimao Village 1",121.49222,24.99673
35,15331,連城錦和路口,"Liancheng Jinhe Rd. Entrance",121.4902015,24.99645348
36,15332,連城中正路口,"Liancheng Zhongzheng Rd. Entrance",121.4864642,24.99633608
37,15333,連城路,"Liancheng Rd.",121.48331,24.996
38,15334,中和高中,"Zhonghe High School",121.4811434,24.99594707
39,15335,員山派出所,"Yuanshan Police Substation",121.4810959,24.99827083
40,15336,積穗國中,"Jisui Junior High School",121.4813353,25.0006
41,15337,員山,Yuanshan,121.4810458,25.00346806
42,15338,積穗,Jisui,121.4797499,25.00604695
43,15339,板橋監理站,"Banqiao Motor Vehicle Supervision Sta.",121.4759493,25.00600305
44,15340,環球購物中心,"Globall Mall",121.47349,25.00638
45,15382,漢民路口,"Hanmin Rd. Entrance",121.4707676,25.00682585
46,15383,電信訓練所,"Telecommunications Training Center",121.4676131,25.00796511
47,15384,民族區運路口,"Minzu   Quyun  Intersection",121.4656708,25.00864249
48,153797,深丘里,"Shenqiu Li",121.4652439,25.00947305
49,153798,新北市政府(新府路),"Taipei County Hall",121.4645164,25.01194682
50,15385,板橋公車站(捷運板橋站),"Banqiao Gong Station",121.46234,25.01293
51,59444,萬坪公園,"Wanping Park",121.46058,25.01347
52,15386,北門街,"Beimen St.",121.45679,25.01123
53,15387,板橋戶政事務所,"Banciao Household Registry",121.4563231,25.01289423
54,15388,育樂中心,"Receration Center",121.4566501,25.01521179
55,15389,大庭新村,"Dating New Village",121.4564174,25.0173775
56,15390,和平一村,"Heping Village 1",121.4556607,25.01900577
57,15391,社后,Shehou,121.4549356,25.02072403
58,15392,板橋國中(435藝文特區),"Banqiao Jr. High School (435 Art Center)",121.4543765,25.02250094
59,15394,名來新城,"Minglai New Village",121.45452,25.02613
60,21594,新海抽水站,"Xinhai Pumping Sta.",121.4557,25.02838
